"A 1998","ジャンル","曲 名","演奏者","演奏者2","演奏者3","演奏者4","演奏者5","演奏者6","演奏者7","伴奏","伴奏2","伴奏3","伴奏4","作詞者","補作","作曲者","作曲者2","編曲者","レーベル","レコード番号","シリアル番号","発売","備考","昭和館","場所","箱"
"01","舞踏歌謡","恋の大川端","野村雪子",,,,,,,"日本マーキュリーオーケストラ",,,,"梅田幸三",,"大村能章",,"大村能章","マーキュリー","H-15016","28-785",1953,,,,
"01","歌謡曲","おこさ節","青葉笙子",,,,,,,"日本マーキュリーオーケストラ",,,,"牧 喜代司",,"記述なし",,"大森盛太郎","マーキュリー","H-15093","29－946",1954,"民謡",,,
"01","歌謡曲","真室川音頭","野村雪子",,,,,,,"日本マーキュリーオーケストラ",,,,"松本一晴",,"記述なし",,"大森盛太郎","マーキュリー","H-15093","29－945",1954,"民謡",,,
"08","ジャズ民謡","ソーラン節","青葉笙子",,,,,,,"日本マーキュリーオーケストラ",,,,"牧 喜代司",,"記述なし",,"大森盛太郎","マーキュリー","H-15098","29－960",1954,"民謡",,,
"08","ジャズ民謡","ルムバおてもやん","八志摩亀生",,,,,,,"日本マーキュリーオーケストラ",,,,"松村又一",,"記述なし",,"大森盛太郎","マーキュリー","H-15098","29－961",1954,,,,
"01","歌謡曲","ソーラン恋唄","三笠陽子",,,,,,,"日本マーキュリーオーケストラ",,,,"松村又一",,"遠藤 実",,"牧野昭一","マーキュリー","R-1001","R-1641","不詳","ブルーバード盤",,,
"01","歌謡曲","こんなに胸が切なくて","南 洋子",,,,,,,"日本マーキュリーオーケストラ",,,,"増田美智子",,"福田しげる",,"牧野昭一","マーキュリー","R-1001","R-1642","不詳","ブルーバード盤",,,
"10","歌謡物語","夢香愛唱集(上)","夢香(専属)","静田錦波(解説)",,,,,,"ウエスターン管弦楽団(伴奏)",,,,"宮本旅人",,,,"飯田三郎","タイヘイ","21188-A",,1937,"世界最高級ウエスターン吹込",,,
"10","歌謡物語","夢香愛唱集(下)","夢香(専属)","静田錦波(解説)",,,,,,"ウエスターン管弦楽団(伴奏)",,,,"宮本旅人",,,,"飯田三郎","タイヘイ","21188-B",,1937,"世界最高級ウエスターン吹込",,,
"04","吹奏楽","阪神電気鉄道株式会社社歌","運転課精華バンド",,,,,,,"運転課精華バンド",,,,,,,,"宮原禎次","タイヘイ","M1473","M1474",1938,"報国",,,
"10","社歌","阪神電気鉄道株式会社社歌","水野康孝",,,,,,,"運転課精華バンド",,,,"記述なし",,"記述なし",,"宮原禎次","タイヘイ","M1473","M1473",1938,"報国",,,
"08","舞踏新小唄","西宮音頭","幾松","結城 浩",,,,,,"西宮検 小金(囃子)","西宮検 歌喜美(囃子)","西宮検 登美路(囃子)","タイヘイ和洋楽団","西宮市選歌",,"松永和夫",,,"タイヘイ","4551-A",,1934,"西宮市推薦  結城 浩は楠木繁夫の別名",,,
"08","新小唄","えびす祭","東京幾松",,,,,,,"タイヘイ和洋楽団",,,,"佐久羊村",,"近藤十九二",,,"タイヘイ","4551-B",,1934,"西宮市推薦",,,
"01","流行歌","みなと音頭","幾松 ",,,,,,,"床栄(三味線) ","栄幸(三味線) ","大ぜい(囃子)","タイヘイ和洋楽団","岸本梅路
野口雨情(補作)",,"宮本啓一",,,"タイヘイ","1-A",,"不詳","「第一回神戸みなとの祭」主題歌",,,
"10","市民歌","第二回神戸みなとの祭","中検 巴","共立検 小はん",,,,,," 市駒(三味線)","駒枝他(三味線)","タイヘイ和洋楽団",,"冨田碎花選
平川六郎",,"近藤十九二",,,"タイヘイ","1-B",,"不詳","神戸市民祭協会指定歌  神戸市民祭協会懸賞募集一等当選歌",,,
"01","流行歌行進曲","神戸(みなと)行進曲","泉 進一",,,,,,,"タイヘイオーケストラ",,,,"岸本梅路
冨田碎花(補作)",,"秋山完一",,,"タイヘイ","4250-B",,1933,"神戸「みなとの祭」主題歌  懸賞募集一等当選歌",,,
"01","流行歌","みなと音頭","幾松 ",,,,,,,"床栄(三味線) ","栄幸(三味線) ","大ぜい(囃子)","タイヘイ和洋楽団","岸本梅路
野口雨情(補作)",,"宮本啓一",,,"タイヘイ","4250-A",,1933,"神戸「みなとの祭」主題歌 懸賞募集等当選歌  
神戸又新日報社特選 神戸市民祭協会推奨",,,
"01","歌謡曲","港神戸のマドロスさん","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10263","26-215",1952,"Ⓗ10132の再発売か？",,,
"01","歌謡曲","みなと音頭","豆千代","藤島桓夫",,,,,,"タイヘイオーケストラ",,,,"鈴木正次",,"飯田景応",,"飯田景応","タイヘイ","Ⓗ10263","27-556",1952,,,,
"10","市民歌","第四回神戸みなとの祭の歌","三島一声","お鯉","ウエスターン・コーラス",,,,,"ウエスターン管弦楽団",,,,"時雨音羽(選)",,"大村能章",,,"タイヘイ","21064ｰA",,1936,"神戸市民祭協会指定歌",,,
